CBO94;CBO2002
X4010;020105
X4020;020205
X4030;021105
X4040;021210
X5010;010110
X5020;010210
X5030;010310
X5040;010310
X6010;010115
X6020;010215
X6030;010215
X6040;010315
X7010;020105
X7020;020205
X7030;021110
X7040;021205
X8010;020105
X8020;020205
X8030;020205
X8030;021110
X8040;021205
01105;213210
01110;213205
01125;213205
01145;213210
01150;213205
01155;213205
01190;213205
01190;213210
01210;213105
01215;213150
01220;213105
01230;213175
01235;213105
01240;213160
01250;213110
01260;213105
01270;213105
01280;213155
01290;213105
01290;213125
01290;213135
01290;213150
01290;301110
01920;213415
01930;213315
01940;213305
01950;203215
01990;213120
01990;213415
01990;213420
01990;301110
01990;311510
01990;316105
02020;222110
02040;222120
02060;222115
02090;222110
02090;222120
02110;214205
02115;214215
02125;214255
02135;214210
02145;214225
02150;214245
02155;214265
02160;214230
02165;214260
02170;214240
02175;214105
02180;214125
02185;214120
02190;141305
02190;203205
02190;214105
02190;214110
02190;214205
02190;214215
02190;214250
02190;214255
02190;312105
02190;318505
02190;710205
02220;214405
02230;214305
02240;214365
02250;214610
02260;214510
02270;262410
02290;214505
02290;214905
02305;214305
02310;214310
02320;214305
02330;214305
02335;214325
02340;214340
02350;214310
02385;214365
02390;214305
02390;214310
02390;214320
02390;214330
02390;214340
02410;214405
02415;214405
02420;214405
02430;214405
02440;214405
02445;214405
02450;214430
02460;214425
02465;214405
02470;214410
02480;214405
02483;214610
02485;214415
02490;214405
02490;214410
02490;214420
02510;214505
02520;214525
02530;214520
02540;214525
02550;214505
02590;214505
02590;214510
02590;214525
02620;214610
02630;214610
02690;214605
02690;214610
02710;214705
02720;214705
02730;214705
02740;214705
02750;213405
02760;214705
02790;214705
02790;214725
02810;214905
02830;214925
02840;214915
02850;214910
02890;214905
02890;214910
02890;214915
02920;214605
02935;214805
02940;214505
02950;214255
02960;203210
02990;214355
02990;214605
02990;214810
02990;214905
02990;214910
03020;351105
03030;424125
03040;351305
03050;351305
03060;351310
03090;351105
03090;351305
03090;391210
03090;411035
03110;321110
03120;321105
03130;323105
03140;324205
03145;324210
03150;323105
03160;321305
03190;203020
03190;213205
03205;316305
03210;314620
03212;314725
03214;314710
03215;314730
03216;314720
03218;314705
03219;314715
03220;316310
03225;214610
03230;316110
03290;141205
03290;314620
03290;314715
03290;316110
03290;316305
03290;711320
03290;720125
03290;720150
03290;773105
03290;780105
03315;312105
03330;312305
03350;312315
03360;312205
03370;312210
03380;312320
03390;312105
03390;312205
03390;312210
03390;312305
03390;312315
03390;312320
03390;710205
03390;910910
03405;313105
03410;313215
03430;313315
03435;313120
03436;313125
03440;313205
03442;313210
03445;313315
03447;313320
03450;313315
03455;313320
03460;313315
03475;313315
03482;313315
03490;213310
03490;313105
03490;313120
03490;313130
03490;313215
03490;313315
03490;313320
03490;374120
03490;374125
03490;391205
03490;715615
03490;732105
03490;732120
03490;860115
03490;950105
03490;954210
03510;314110
03530;314310
03540;314305
03550;314115
03560;314315
03570;314125
03575;314120
03590;300305
03590;314105
03590;314110
03590;314115
03590;314120
03590;314205
03590;314210
03590;314310
03590;314315
03590;720115
03590;720215
03590;950110
03590;950305
03605;311105
03615;301115
03620;311205
03630;301110
03640;301105
03650;325115
03690;301105
03690;301110
03690;301115
03690;311105
03690;311115
03690;311205
03690;311405
03690;311410
03690;314605
03690;314615
03690;314620
03690;316110
03690;325110
03690;391210
03690;515215
03690;810110
03690;818110
03710;311605
03720;311615
03730;311625
03740;311610
03750;311620
03790;301105
03790;311605
03790;760110
03805;318005
03810;318430
03820;318205
03825;318310
03830;318305
03835;318115
03840;318420
03845;318105
03850;318215
03855;318110
03860;318415
03865;318425
03870;318405
03875;318120
03880;318210
03883;318015
03884;318410
03885;318015
03887;318010
03890;312305
03890;316110
03890;318005
03890;318010
03890;318205
03890;318305
03890;318410
03890;318415
03890;318430
03890;318505
03890;415130
03930;391105
03935;391125
03937;391220
03940;391110
03945;351605
03948;342120
03950;311510
03960;311305
03965;311515
03970;311110
03975;351715
03980;325205
03982;371305
03983;371310
03984;371305
03985;391205
03987;351725
03988;300305
03989;391135
03990;141420
03990;142705
03990;311105
03990;311115
03990;311305
03990;311405
03990;311410
03990;311515
03990;311725
03990;312205
03990;313130
03990;313205
03990;313410
03990;314110
03990;319105
03990;321205
03990;371310
03990;391105
03990;391110
03990;391125
03990;391205
03990;391215
03990;395105
03990;510310
03990;515225
03990;519940
03990;723220
03990;742105
03990;810110
04120;215305
04130;341105
04135;215305
04140;215305
04150;341115
04160;215315
04170;215310
04190;215305
04215;215115
04220;215115
04230;215115
04240;341215
04250;215220
04290;215105
04290;215110
04290;215115
04315;215210
04320;215205
04330;215220
04390;215205
05110;221105
05120;203025
05125;203005
05130;203010
05140;203015
05150;203020
05190;203005
05190;203010
05190;203015
05190;203025
05230;223410
05250;203015
05270;223405
05290;203015
06190;252105
06310;223208
06330;223272
06335;223268
06340;223212
06345;223240
06350;223244
06355;223236
06360;223256
06365;223260
06370;223248
06390;223208
06510;223305
06530;223305
06540;223310
06590;223305
06710;223405
06720;223405
06790;223405
06790;223410
06790;515225
06810;223710
06820;223710
06830;223705
06890;223705
06890;223710
07110;223505
07130;223560
07140;223530
07145;223545
07150;223520
07155;223525
07160;223555
07165;223550
07190;223505
07190;223520
07210;322205
07215;322215
07220;322210
07230;322220
07290;322230
07310;251605
07315;251605
07325;251605
07345;251605
07390;251605
07410;251510
07415;251540
07425;251505
07435;251510
07445;251535
07450;251525
07455;251515
07460;251530
07490;251505
07490;251510
07525;223910
07530;322305
07540;322305
07590;752235
07620;223605
07630;223905
07690;223605
07690;223620
07690;324115
07690;516135
07720;324115
07730;324110
07740;324105
07790;324110
07790;324115
07915;322105
07925;223810
07935;322405
07945;322115
07950;322505
07990;251550
08110;211205
08120;203120
08130;211210
08190;211205
08190;211210
08220;211115
08240;211110
08250;211105
08290;211115
08320;212405
08330;212420
08340;142515
08345;212410
08390;212405
08390;212415
08390;317205
08410;142510
08420;317110
08425;313505
08430;317115
08490;317110
08490;317205
09110;251205
09120;251225
09130;251215
09140;251210
09190;252105
09220;252105
09230;252105
09290;252105
09310;252210
09320;252205
09330;252210
09390;252205
09390;252210
09390;391125
09910;252205
09940;252510
09990;252105
12110;241005
12120;241015
12130;241020
12140;241035
12150;241025
12190;241005
12190;241015
12190;241020
12190;241030
12920;241215
12930;241210
12940;241010
12950;241040
12990;241040
12990;241210
12990;241230
12990;242210
12990;242215
12990;242235
12990;242245
13120;234505
13130;234520
13140;234510
13150;234515
13190;234515
13190;234520
13190;239410
13205;234210
13210;234205
13220;234210
13230;234210
13290;231305
13320;234310
13330;234310
13335;234310
13340;234310
13345;234310
13350;234310
13355;234310
13360;234305
13365;234305
13370;234310
13375;234310
13380;234310
13390;234310
13405;234110
13410;234115
13420;234105
13430;234105
13440;234110
13450;234105
13460;234115
13490;234105
13490;234115
13510;234805
13520;234805
13530;234805
13540;234805
13550;234805
13560;234810
13570;234815
13590;234805
13615;234730
13620;234730
13625;234730
13630;234730
13635;234730
13640;234730
13645;234705
13650;234735
13655;234745
13660;234720
13665;234770
13670;234740
13680;234760
13690;234315
13720;234405
13730;234405
13740;234405
13750;234435
13760;234435
13765;234420
13770;234435
13780;234415
13785;234425
13790;234405
13790;234425
13790;234430
13820;234624
13830;234616
13840;234648
13850;234672
13890;234604
13890;234620
13890;234660
13890;234672
13890;234676
13915;131305
13920;234310
13930;234320
13935;234215
13940;234215
13950;234305
13960;234125
13965;234676
13970;234910
13980;234410
13990;234505
13990;234520
13990;234715
13990;234725
13990;234745
13990;234770
13990;234810
13990;234910
13990;354815
14115;232145
14120;232150
14125;232135
14130;232140
14135;232140
14140;232160
14145;232155
14150;232130
14155;232165
14160;232110
14165;232115
14170;233130
14175;233120
14180;233115
14185;233125
14190;231310
14190;233110
14220;231210
14230;231335
14240;231340
14250;231305
14260;231325
14290;231205
14290;231210
14290;231310
14290;231320
14290;231325
14290;231330
14290;231335
14320;231105
14390;231105
14390;231110
14420;233135
14430;233110
14440;233210
14450;233215
14460;233205
14490;233110
14490;233130
14490;233135
14490;262830
14520;239215
14530;239225
14540;239205
14590;239210
14590;239215
14920;121010
14930;239430
14940;239410
14945;239415
14950;239405
14960;239420
14990;231205
14990;231310
14990;233110
15120;261515
15130;261510
15190;261510
15210;261125
15220;261115
15230;261140
15240;261135
15245;261120
15250;261505
15260;261505
15270;253110
15275;253110
15280;261530
15290;253110
15290;261105
15290;261120
15290;261125
15290;261135
15290;261140
15290;261730
15310;261715
15320;261715
15330;261710
15340;261715
15390;261710
15390;261715
15390;261730
15945;261610
15947;253115
15955;253105
15970;253105
15990;261305
16120;262405
16130;262405
16140;262405
16150;262405
16160;262405
16190;214115
16190;262405
16190;262410
16190;752105
16310;261805
16320;261815
16330;261810
16340;261820
16350;372105
16360;372115
16370;372115
16390;261805
16390;261815
17120;262605
17130;262610
17135;262615
17140;262610
17145;262705
17150;262615
17190;262615
17220;262815
17225;262320
17230;262810
17290;374210
17320;262505
17330;262220
17345;262205
17355;262215
17390;262505
17420;262120
17430;262110
17440;262115
17450;262105
17490;262105
17490;262110
17490;262125
17520;376245
17530;376235
17540;376205
17550;376255
17590;376215
17590;376220
17590;376225
17590;376230
17590;376325
17930;376305
17990;262105
17990;262505
18120;224125
18125;224120
18130;224135
18135;224125
18140;224125
18145;224115
18150;224125
18155;224125
18160;224125
18190;224125
18190;224130
18220;377110
18230;377135
18240;377130
18250;377145
18290;377105
18290;377115
18920;377205
18990;224130
18990;224135
19120;261205
19125;261210
19130;261305
19140;261310
19145;212305
19190;261305
19190;261310
19220;251120
19225;251610
19240;251105
19245;251110
19250;251305
19260;203520
19270;251115
19290;251405
19520;261405
19530;261420
19540;261410
19590;261420
19620;263105
19630;263110
19640;263115
19690;263105
19690;263110
19690;514115
19720;252405
19730;252405
19735;252405
19790;252405
19835;354305
19847;351720
19850;351740
19855;351705
19890;354305
19920;241030
19945;253125
19955;253120
19960;516705
19990;213205
21120;111105
21130;111110
21135;111115
21140;111120
21220;111225
21320;111330
21330;111340
21340;111340
21350;111345
21360;111325
21390;111305
21390;111320
21390;111325
21390;111330
21390;111405
21390;242235
21420;111405
21430;111410
21440;111415
21490;252105
22120;111405
22130;111405
22140;111405
22190;111405
22190;122705
22190;142305
23120;121010
23130;121010
23140;121010
23150;121010
23160;121010
23165;121010
23170;121010
23180;121010
23190;121005
23190;121010
23190;122205
23190;710220
23190;720205
23190;730105
23190;750105
23190;751010
23220;121010
23230;121010
23240;121010
23250;121010
23290;214705
23290;222105
23290;222120
23320;121010
23330;121010
23340;121010
23390;121005
23420;121010
23490;121005
23490;141305
23490;214215
23490;312105
23490;710205
23520;121010
23530;121010
23540;121010
23590;121005
23590;121010
23590;122515
23590;123305
23590;141505
23620;121010
23630;121010
23640;121010
23650;121010
23690;121005
23690;121010
23690;141605
23690;214270
23720;121010
23730;121010
23740;121010
23750;121010
23790;121005
23790;121010
23790;123110
23790;141410
23790;141420
23790;142210
23820;121010
23830;121010
23840;121010
23890;114405
23890;121005
23890;131105
23890;262220
23910;121010
23990;121010
23990;131105
23990;142320
23990;241235
23990;252305
23990;262220
23990;514110
24120;142105
24125;142105
24130;142210
24140;142310
24150;142205
24190;252105
24220;142105
24230;142605
24240;142105
24290;121005
24290;122205
24290;122515
24290;123105
24290;123110
24290;131115
24290;131120
24290;141115
24290;141205
24290;141605
24290;141610
24290;141615
24290;142205
24290;142315
24290;142320
24290;142405
24290;142410
24290;142510
24290;142605
24290;251220
24290;252305
24290;253125
24290;262220
24290;301105
24290;313215
24290;314205
24290;314605
24290;318610
24290;351720
24290;391125
24290;391210
24290;395105
24290;410105
24290;410235
24290;411010
24290;414210
24290;515225
24290;715305
24290;720145
24290;720215
24290;760125
24290;760605
24290;770110
24290;773205
24290;780105
24290;784205
24290;841210
24320;142115
24325;141710
24330;142305
24335;141720
24340;142405
24345;351710
24347;141715
24350;142320
24355;141705
24360;142310
24365;141720
24370;142315
24390;121005
24390;123115
24390;123305
24390;131105
24390;131115
24390;141205
24390;141405
24390;141415
24390;141420
24390;141510
24390;141615
24390;141715
24390;141725
24390;142115
24390;142205
24390;142305
24390;142310
24390;142315
24390;142320
24390;142405
24390;251205
24390;251215
24390;252210
24390;252305
24390;253115
24390;253120
24390;253205
24390;262205
24390;262410
24390;351715
24390;353230
24390;353235
24390;354110
24390;354125
24390;410225
24390;410235
24390;411010
24390;420110
24910;141205
24920;141605
24930;141610
24940;141705
24990;121005
24990;122205
24990;123105
24990;131210
24990;141115
24990;141205
24990;141305
24990;141420
24990;141610
24990;142205
24990;142305
24990;142315
24990;142320
24990;252305
24990;261110
24990;262205
24990;311515
24990;352310
24990;373205
24990;412120
24990;413110
24990;414110
24990;710210
24990;720115
24990;766405
30110;410105
30120;351315
30130;410105
30135;410215
30190;111415
30190;131205
30190;131315
30190;141205
30190;141420
30190;141715
30190;141725
30190;142305
30190;142310
30190;142320
30190;254310
30190;261210
30190;342120
30190;342210
30190;342410
30190;351110
30190;351315
30190;351505
30190;351605
30190;391220
30190;410105
30190;410215
30190;410225
30190;410235
30190;411005
30190;411045
30190;412105
30190;414210
30190;510105
30190;510110
30190;732120
30190;760405
30190;780105
30190;910105
30220;351110
30230;410230
30240;410225
30250;410210
30260;410235
30290;222105
30920;410205
30930;410220
30990;351110
30990;410205
30990;410215
31120;411010
31125;411010
31190;351425
31190;411005
31190;411010
31220;254415
31230;254415
31240;254405
31250;254405
31260;254405
31290;251225
31290;252205
31290;252210
31290;254110
31290;254405
31290;254415
31290;342210
31290;351105
31290;351110
31290;410105
31290;411005
31290;413110
31290;421310
31320;242305
31330;351810
31340;204105
31390;111415
31390;242305
31390;351810
31420;241335
31430;351410
31440;351425
31490;252210
31490;351405
31490;351410
31490;351425
31490;411020
31920;352210
31930;352205
31940;352205
31950;352305
31960;352410
31970;254405
31980;254405
31985;351305
31990;222110
32105;351505
32110;252305
32115;252310
32190;252310
32190;351515
32190;410105
32190;411005
32190;411010
32190;422105
32320;412105
32330;351510
32340;412115
32350;372205
32390;261305
33115;413110
33130;413110
33140;413210
33145;421125
33150;253305
33155;353225
33157;353230
33165;413215
33175;413110
33190;141720
33190;142320
33190;253305
33190;351105
33190;351110
33190;351305
33190;353205
33190;353230
33190;410210
33190;410220
33190;410235
33190;413105
33190;413110
33190;413210
33190;413220
33190;413225
33190;420105
33190;421125
33220;421105
33230;421115
33235;511220
33240;421120
33250;421210
33260;421205
33270;519940
33290;354815
33290;420105
33290;421110
33290;421115
33290;421120
33920;413110
33925;413230
33930;413105
33950;413115
33960;421305
33970;411040
33990;252210
33990;351105
33990;351110
33990;410105
33990;410230
33990;411005
33990;411010
33990;411035
33990;413105
33990;413110
33990;413115
33990;413220
33990;413225
33990;413230
33990;420105
33990;420110
33990;421125
33990;421305
33990;421310
34120;411010
34130;411010
34190;413110
34220;317205
34225;317205
34230;411010
34232;317205
34235;317205
34240;412110
34290;313305
34290;317205
34290;412110
34290;766250
34290;954305
34320;412110
34330;412120
34390;412110
34390;412120
34410;412120
34415;391115
34420;391120
34430;391120
34440;142515
34490;342610
34490;391125
34490;391210
35120;342405
35130;342410
35140;342410
35190;342405
35190;342410
35190;511205
35190;991105
35220;141610
35230;141610
35240;313315
35290;412115
35290;415210
35320;342520
35330;342510
35340;342505
35350;342515
35390;342505
35390;342510
35420;342305
35430;342310
35490;342305
35490;342310
35490;342410
35520;342610
35590;342605
35590;342610
36025;511210
36035;511205
36040;511215
36090;342505
36090;342510
36090;342530
36090;511205
36090;511210
37020;415210
37030;415205
37040;415205
37090;141610
37090;391230
37090;412205
37090;415205
37090;415210
38020;422205
38025;422315
38030;372205
38040;372210
38045;372210
38050;372210
38060;372210
38070;372210
38080;372205
38085;422205
